title,year,venue,type,co_authors
A Library of Phosphoproteomic and Chromatin Signatures for Characterizing Cellular Responses to Drug Perturbations,2018,Cell Systems,article,Lev Litichevskiy; Ryan Peckner; Jennifer G. Abelin; Jacob K. Asiedu; Amanda L. Creech; John F. Davis; Desiree Davison; Caitlin M. Dunning; Jarrett D. Egertson; Shawn B. Egri; Joshua Gould; Tak Ko; Sarah Johnson; David L. Lahr; Daniel D. Lam; Zihan Liu; Nicholas Lyons; Xiaodong Lü; Brendan MacLean; Alison E. Mungenast; Adam Officer; Ted Natoli; Malvina Papanastasiou; Jinal Patel; Vagisha Sharma; Courtney Toder; Andrew A. Tubelli; Jennie Z. Young; Steven A. Carr; Todd R. Golub; Aravind Subramanian; Michael J. MacCoss; Li‐Huei Tsai; Jacob D. Jaffe
"Using Skyline to Analyze Data-Containing Liquid Chromatography, Ion Mobility Spectrometry, and Mass Spectrometry Dimensions",2018,Journal of the American Society for Mass Spectrometry,article,Brendan MacLean; Brian Pratt; Jarrett D. Egertson; Michael J. MacCoss; Richard Smith; Erin Baker
Utilization of a Dextran Ladder to Standardize PGC-LC-MS-Based Glycomics,2018,ChemRxiv,preprint,Christopher Ashwood; Brian R. Pratt; Brendan MacLean; Nicolle H. Packer
A Library of Phosphoproteomic and Chromatin Signatures for Characterizing Cellular Responses to Drug Perturbations,2017,bioRxiv (Cold Spring Harbor Laboratory),preprint,Lev Litichevskiy; Ryan Peckner; Jennifer G. Abelin; Jacob K. Asiedu; Amanda L. Creech; John F. Davis; Desiree Davison; Caitlin M. Dunning; Jarrett D. Egertson; Shawn B. Egri; Joshua Gould; Tak Ko; Sarah Johnson; David L. Lahr; Daniel D. Lam; Zihan Liu; Nicholas Lyons; Xiaodong Lü; Brendan MacLean; Alison E. Mungenast; Adam Officer; Ted Natoli; Malvina Papanastasiou; Jinal Patel; Vagisha Sharma; Courtney Toder; Andrew A. Tubelli; Jennie Z. Young; Steven A. Carr; Todd R. Golub; Aravind Subramanian; Michael J. MacCoss; Li‐Huei Tsai; Jacob D. Jaffe
The Skyline ecosystem: Informatics for quantitative mass spectrometry proteomics,2017,Mass Spectrometry Reviews,article,Lindsay K. Pino; Brian C. Searle; James G. Bollinger; Brook L. Nunn; Brendan MacLean; Michael J. MacCoss
Statistical control of peptide and protein error rates in large-scale targeted data-independent acquisition analyses,2017,Nature Methods,article,George Rosenberger; Isabell Bludau; Uwe Schmitt; Moritz Heusel; Christie L. Hunter; Yansheng Liu; Michael J. MacCoss; Brendan MacLean; Alexey I. Nesvizhskii; Patrick G. A. Pedrioli; Lukas Reiter; Hannes Röst; Stephen Tate; Ying S. Ting; Ben C. Collins; Ruedi Aebersold
Skyline Performs as Well as Vendor Software in the Quantitative Analysis of Serum 25-Hydroxy Vitamin D and Vitamin D Binding Globulin,2017,Clinical Chemistry,article,Clark M. Henderson; Nicholas Shulman; Brendan MacLean; Michael J. MacCoss; Andrew N. Hoofnagle
New Guidelines for Publication of Manuscripts Describing Development and Application of Targeted Mass Spectrometry Measurements of Peptides and Proteins,2017,Molecular & Cellular Proteomics,article,Susan E. Abbatiello; Bradley L. Ackermann; Christoph H. Borchers; Ralph Bradshaw; Steven A. Carr; Robert J. Chalkley; Meena Choi; Eric W. Deutsch; Bruno Domon; Andrew N. Hoofnagle; Hasmik Keshishian; Eric Kuhn; D.C. Liebler; Michael J. MacCoss; Brendan MacLean; D.R. Mani; Hendrik Neubert; Derek Smith; Olga Vitek; Lisa J. Zimmerman
MSstatsQC: Longitudinal System Suitability Monitoring and Quality Control for Targeted Proteomic Experiments,2017,Molecular & Cellular Proteomics,article,Eralp Doğu; Sara Mohammad-Taheri; Susan E. Abbatiello; Michael S. Bereman; Brendan MacLean; Birgit Schilling; Olga Vitek
A multicenter study benchmarks software tools for label-free proteome quantification,2016,Nature Biotechnology,article,Pedro Navarro; Jörg Kuharev; Ludovic Gillet; Oliver M. Bernhardt; Brendan MacLean; Hannes Röst; Stephen Tate; Chih‐Chiang Tsou; Lukas Reiter; Ute Distler; George Rosenberger; Yasset Pérez‐Riverol; Alexey I. Nesvizhskii; Ruedi Aebersold; Stefan Tenzer
An Automated Pipeline to Monitor System Performance in Liquid Chromatography–Tandem Mass Spectrometry Proteomic Experiments,2016,Journal of Proteome Research,article,Michael S. Bereman; Joshua Beri; Vagisha Sharma; Cory Nathe; Josh Eckels; Brendan MacLean; Michael J. MacCoss
ABRF Proteome Informatics Research Group (iPRG) 2015 Study: Detection of Differentially Abundant Proteins in Label-Free Quantitative LC–MS/MS Experiments,2016,Journal of Proteome Research,article,Meena Choi; Zeynep F. Eren-Dogu; Christopher M. Colangelo; John S. Cottrell; Michael R. Hoopmann; Eugene A. Kapp; Sangtae Kim; Henry Lam; Thomas A. Neubert; Magnus Palmblad; Brett S. Phinney; Susan T. Weintraub; Brendan MacLean; Olga Vitek
Building high-quality assay libraries for targeted analysis of SWATH MS data,2015,Nature Protocols,article,Olga T. Schubert; Ludovic Gillet; Ben C. Collins; Pedro Navarro; George Rosenberger; Witold Wolski; Henry Lam; Dario Amodei; Parag Mallick; Brendan MacLean; Ruedi Aebersold
Multiplexed peptide analysis using data-independent acquisition and Skyline,2015,Nature Protocols,article,Jarrett D. Egertson; Brendan MacLean; Richard S. Johnson; Yue Xuan; Michael J. MacCoss
Peptide-Centric Proteome Analysis: An Alternative Strategy for the Analysis of Tandem Mass Spectrometry Data,2015,Molecular & Cellular Proteomics,article,Ying S. Ting; Jarrett D. Egertson; Samuel Payne; Sangtae Kim; Brendan MacLean; Lukas Käll; Ruedi Aebersold; Richard Smith; William Stafford Noble; Michael J. MacCoss
"Multiplexed, Scheduled, High-Resolution Parallel Reaction Monitoring on a Full Scan QqTOF Instrument with Integrated Data-Dependent and Targeted Mass Spectrometric Workflows",2015,Analytical Chemistry,article,Birgit Schilling; Brendan MacLean; Jason M. Held; Alexandria K. Sahu; Matthew J. Rardin; Dylan J. Sorensen; Theodore W. Peters; Alan J. Wolfe; Christie L. Hunter; Michael J. MacCoss; Bradford W. Gibson
MS1 Peptide Ion Intensity Chromatograms in MS2 (SWATH) Data Independent Acquisitions. Improving Post Acquisition Analysis of Proteomic Experiments,2015,Molecular & Cellular Proteomics,article,Matthew J. Rardin; Birgit Schilling; Lin-Yang Cheng; Brendan MacLean; Dylan J. Sorensen; Alexandria K. Sahu; Michael J. MacCoss; Olga Vitek; Bradford W. Gibson
"Large-Scale Interlaboratory Study to Develop, Analytically Validate and Apply Highly Multiplexed, Quantitative Peptide Assays to Measure Cancer-Relevant Proteins in Plasma",2015,Molecular & Cellular Proteomics,article,Susan E. Abbatiello; Birgit Schilling; D.R. Mani; Lisa J. Zimmerman; Steven C. Hall; Brendan MacLean; Matthew E. Albertolle; Simon Allen; Michael Burgess; Michael P. Cusack; Mousumi Gosh; Victoria Hedrick; Jason M. Held; Halina D. Inerowicz; Angela Jackson; Hasmik Keshishian; Christopher R. Kinsinger; John S. Lyssand; Lee Makowski; Mehdi Mesri; Henry Rodriguez; Paul A. Rudnick; Paweł Sadowski; Nell Sedransk; Kent Shaddox; Stephen J. Skates; Eric Kuhn; Derek Smith; Jeffery R. Whiteaker; Corbin A. Whitwell; Shucha Zhang; Christoph H. Borchers; Susan J. Fisher; Bradford W. Gibson; D.C. Liebler; Michael J. MacCoss; Thomas A. Neubert; Amanda G. Paulovich; Fred E. Regnier; Paul Tempst; Steven A. Carr
MSstats: an R package for statistical analysis of quantitative mass spectrometry-based proteomic experiments,2014,Bioinformatics,article,Meena Choi; Ching-Yun Chang; Timothy Clough; Daniel Broudy; Trevor Killeen; Brendan MacLean; Olga Vitek
Targeted Peptide Measurements in Biology and Medicine: Best Practices for Mass Spectrometry-based Assay Development Using a Fit-for-Purpose Approach,2014,Molecular & Cellular Proteomics,article,Steven A. Carr; Susan E. Abbatiello; Bradley L. Ackermann; Christoph H. Borchers; Bruno Domon; Eric W. Deutsch; Russell P. Grant; Andrew N. Hoofnagle; Ruth Hüttenhain; John M. Koomen; D.C. Liebler; Tao Liu; Brendan MacLean; D.R. Mani; Elizabeth Mansfield; Hendrik Neubert; Amanda G. Paulovich; Lukas Reiter; Olga Vitek; Ruedi Aebersold; Leigh Anderson; Robert A. Bethem; Josip Blonder; Emily S. Boja; Julianne Cook Botelho; Michael S. Boyne; Ralph Bradshaw; Alma L. Burlingame; Daniel W. Chan; Hasmik Keshishian; Eric Kuhn; Christopher R. Kinsinger; Jerry Lee; Sang‐Won Lee; Robert L. Moritz; Juan A. Osés-Prieto; Nader Rifai; James Ritchie; Henry Rodriguez; Pothur R. Srinivas; R. Reid Townsend; Jennifer E. Van Eyk; Gordon Whiteley; Arun P. Wiita; Susan T. Weintraub
CPTAC Assay Portal: a repository of targeted proteomic assays,2014,Nature Methods,article,Jeffrey R. Whiteaker; Goran N. Halusa; Andrew N. Hoofnagle; Vagisha Sharma; Brendan MacLean; Ping Yan; John A. Wrobel; Jacob J. Kennedy; D.R. Mani; Lisa J. Zimmerman; Matthew R. Meyer; Mehdi Mesri; Henry Rodriguez; Amanda G. Paulovich
Panorama: A Targeted Proteomics Knowledge Base,2014,Journal of Proteome Research,article,Vagisha Sharma; Josh Eckels; Greg Taylor; Nicholas Shulman; Andrew B. Stergachis; Shannon Joyner; Ping Yan; Jeffrey R. Whiteaker; Goran N. Halusa; Birgit Schilling; Bradford W. Gibson; Christopher M. Colangelo; Amanda G. Paulovich; Steven A. Carr; Jacob D. Jaffe; Michael J. MacCoss; Brendan MacLean
Implementation of Statistical Process Control for Proteomic Experiments Via LC MS/MS,2014,Journal of the American Society for Mass Spectrometry,article,Michael S. Bereman; Richard S. Johnson; James Bollinger; Yuval Boss; Nick Shulman; Brendan MacLean; Andrew N. Hoofnagle; Michael J. MacCoss
A framework for installable external tools in Skyline,2014,Bioinformatics,article,Daniel Broudy; Trevor Killeen; Meena Choi; Nicholas Shulman; D.R. Mani; Susan E. Abbatiello; D.R. Mani; Rushdy Ahmad; Alexandria K. Sahu; Birgit Schilling; Kaipo Tamura; Yuval Boss; Vagisha Sharma; Bradford W. Gibson; Steven A. Carr; Olga Vitek; Michael J. MacCoss; Brendan MacLean
"ABRF Research Group Development and Characterization of a Proteomics Normalization Standard Consisting of 1,000 Stable Isotope Labeled Peptides",2014,Europe PMC (PubMed Central),article,Craig Dufresne; David H. Hawke; Alexander R. Ivanov; Antonius Koller; Brendan MacLean; Brett S. Phinney; Kristie L. Rose; Paul A. Rudnick; Brian C. Searle; Scott A. Shaffer; Christopher M. Colangelo
iRT – A dimensionless peptidespecific retention time for accurate scheduling in multiplexed MRM experiments,2014,,article,Claudia Escher; Lukas Reiter; Reto Ossola; Brendan MacLean; Oliver Rinner
Multiplexed MS/MS for improved data-independent acquisition,2013,Nature Methods,article,Jarrett D. Egertson; Andreas Kuehn; Gennifer E. Merrihew; Nicholas W. Bateman; Brendan MacLean; Ying S. Ting; Jesse D. Canterbury; Donald M Marsh; Markus Kellmann; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss
"Design, Implementation and Multisite Evaluation of a System Suitability Protocol for the Quantitative Assessment of Instrument Performance in Liquid Chromatography-Multiple Reaction Monitoring-MS (LC-MRM-MS)",2013,Molecular & Cellular Proteomics,article,Susan E. Abbatiello; D.R. Mani; Birgit Schilling; Brendan MacLean; Lisa J. Zimmerman; Xinmei Feng; Michael P. Cusack; Nell Sedransk; Steven C. Hall; Terri A. Addona; Simon Allen; Nathan G. Dodder; Mousumi Ghosh; Jason M. Held; Victoria Hedrick; Halina D. Inerowicz; Angela Jackson; Hasmik Keshishian; J.W. Kim; John S. Lyssand; Catherine Riley; Paul A. Rudnick; Paweł Sadowski; Kent Shaddox; Derek Smith; Daniela M. Tomazela; Åsa Wåhlander; Sofia Waldemarson; Corbin A. Whitwell; Jinsam You; Shucha Zhang; Christopher R. Kinsinger; Mehdi Mesri; Henry Rodriguez; Christoph H. Borchers; Charles R. Buck; Susan J. Fisher; Bradford W. Gibson; D.C. Liebler; Michael J. MacCoss; Thomas A. Neubert; Amanda G. Paulovich; Fred E. Regnier; Steven J. Skates; Paul Tempst; M. Wang; Steven A. Carr
Accounting for Population Variation in Targeted Proteomics,2013,Journal of Proteome Research,article,Grant M. Fujimoto; Matthew Monroe; Larissa V. Rodríguez; Chaochao Wu; Brendan MacLean; Richard Smith; Michael J. MacCoss; Samuel Payne
A cross-platform toolkit for mass spectrometry and proteomics,2012,Nature Biotechnology,article,Matthew Chambers; Brendan MacLean; Robert Burke; Dario Amodei; Daniel Ruderman; Steffen Neumann; Laurent Gatto; Bernd Fischer; Brian Pratt; Jarrett D. Egertson; Katherine Hoff; Darren Kessner; Natalie Tasman; Nicholas Shulman; Barbara Frewen; Tahmina A Baker; Mi‐Youn Brusniak; Christopher Paulse; David M. Creasy; Lisa Flashner; Kian Kani; Chris Moulding; Sean L. Seymour; Lydia M. Nuwaysir; Brent Lefebvre; Frank E. Kuhlmann; Joe Roark; Rainer Paape; Detlev Suckau; Tina Hemenway; Andreas Hühmer; James Langridge; B. Connolly; Trey Chadick; Krisztina Holly; Josh Eckels; Eric W. Deutsch; Robert L. Moritz; Jonathan E. Katz; David B. Agus; Michael J. MacCoss; David L. Tabb; Parag Mallick
"Using i<scp>RT</scp>, a normalized retention time for more targeted measurement of peptides",2012,PROTEOMICS,article,Claudia Escher; Lukas Reiter; Brendan MacLean; Reto Ossola; Franz Herzog; John Chilton; Michael J. MacCoss; Oliver Rinner
Platform-independent and Label-free Quantitation of Proteomic Data Using MS1 Extracted Ion Chromatograms in Skyline,2012,Molecular & Cellular Proteomics,article,Birgit Schilling; Matthew J. Rardin; Brendan MacLean; Anna Zawadzka; Barbara Frewen; Michael P. Cusack; Dylan J. Sorensen; Michael S. Bereman; Enxuan Jing; Christine C. Wu; Eric Verdin; C. Ronald Kahn; Michael J. MacCoss; Bradford W. Gibson
The development of selected reaction monitoring methods for targeted proteomics via empirical refinement,2012,PROTEOMICS,article,Michael S. Bereman; Brendan MacLean; Daniela M. Tomazela; D.C. Liebler; Michael J. MacCoss
Label-Free Quantitation of Protein Modifications by Pseudo Selected Reaction Monitoring with Internal Reference Peptides,2012,Journal of Proteome Research,article,Stacy D. Sherrod; Matthew V. Myers; Ming Li; Jeremy S. Myers; Kristin L. Carpenter; Brendan MacLean; Michael J. MacCoss; D.C. Liebler; Amy‐Joan L. Ham
Multiplexed Data Independent Acquisition for Comparative Proteomics,2012,,article,Jarrett D. Egertson; Andreas Kuehn; Gennifer E. Merrihew; Nicholas W. Bateman; Brendan MacLean; Ying S. Ting; Jesse D. Canterbury; Markus Kellmann; Vlad Zabrouskov; Christine C. Wu; Michael J. MacCoss
Rapid empirical discovery of optimal peptides for targeted proteomics,2011,Nature Methods,article,Andrew B. Stergachis; Brendan MacLean; Kristen Lee; J Stamatoyannopoulos; Michael J. MacCoss
Skyline: an open source document editor for creating and analyzing targeted proteomics experiments,2010,Bioinformatics,article,Brendan MacLean; Daniela M. Tomazela; Nicholas Shulman; Matthew Chambers; Gregory L. Finney; Barbara Frewen; Randall Kern; David L. Tabb; D.C. Liebler; Michael J. MacCoss
Effect of Collision Energy Optimization on the Measurement of Peptides by Selected Reaction Monitoring (SRM) Mass Spectrometry,2010,Analytical Chemistry,article,Brendan MacLean; Daniela M. Tomazela; Susan E. Abbatiello; Shucha Zhang; Jeffrey R. Whiteaker; Amanda G. Paulovich; Steven A. Carr; Michael J. MacCoss
Expediting the Development of Targeted SRM Assays: Using Data from Shotgun Proteomics to Automate Method Development,2009,Journal of Proteome Research,article,Amol Prakash; Daniela M. Tomazela; Barbara Frewen; Brendan MacLean; Gennifer E. Merrihew; Scott Peterman; Michael J. MacCoss
Comparison of Database Search Strategies for High Precursor Mass Accuracy MS/MS Data,2009,Journal of Proteome Research,article,Edward J. Hsieh; Michael R. Hoopmann; Brendan MacLean; Michael J. MacCoss
Precursor-Ion Mass Re-Estimation Improves Peptide Identification on Hybrid Instruments,2008,Journal of Proteome Research,article,Roland Luethy; Darren Kessner; Jonathan E. Katz; Brendan MacLean; Robert Grothe; Kian Kani; Vítor M. Faça; Sharon J. Pitteri; Samir Hanash; David B. Agus; Parag Mallick
General framework for developing and evaluating database scoring algorithms using the TANDEM search engine,2006,Bioinformatics,article,Brendan MacLean; Jimmy K. Eng; Ronald C. Beavis; Martin McIntosh
"Computational Proteomics Analysis System (CPAS):  An Extensible, Open-Source Analytic System for Evaluating and Publishing Proteomic Data and High Throughput Biological Experiments <i>J. Proteome Res.</i> <b>2006</b>, <i>5</i>, 112−121.",2006,Journal of Proteome Research,article,Adam Rauch; Matthew Bellew; Jimmy K. Eng; Matthew Fitzgibbon; Ted Holzman; Peter S. Hussey; Mark Igra; Brendan MacLean; Chen Wei Lin; Andrea Detter; Ruihua Fang; Vítor M. Faça; Phil Gafken; Heidi Zhang; Jeffrey R. Whiteaker; David States; Samir Hanash; Amanda G. Paulovich; Martin McIntosh
"Computational Proteomics Analysis System (CPAS):  An Extensible, Open-Source Analytic System for Evaluating and Publishing Proteomic Data and High Throughput Biological Experiments",2005,Journal of Proteome Research,article,Adam Rauch; Matthew Bellew; Jimmy K. Eng; Matthew Fitzgibbon; Ted Holzman; Peter S. Hussey; Mark Igra; Brendan MacLean; Chen Wei Lin; Andrea Detter; Ruihua Fang; Vítor M. Faça; Phil Gafken; Heidi Zhang; Jeffrey Whitaker; David States; Samir Hanash; Amanda G. Paulovich; Martin McIntosh
Total protein determination in pigeon plasma and serum: comparison of refractometric methods with the biuret method,1996,Journal of Avian Medicine and Surgery,article,J. T. Lumeij; Brendan MacLean
"Quality control report, 1981-82: nine months of operation.",1984,PubMed,article,Brendan MacLean
